"country_region_code","country_region","sub_region_1","sub_region_2","metro_area","iso_3166_2_code","census_fips_code","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","weekdays","daytype"
"CH","Switzerland","","","","",NA,2020-02-15,-1,-1,31,6,-2,-1,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-02-16,10,12,30,8,-2,-1,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-02-17,-3,-4,-3,-2,-1,1,"Montag","work"
"CH","Switzerland","","","","",NA,2020-02-18,3,1,34,3,-2,1,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-02-19,-4,-4,-11,-4,-3,1,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-02-20,2,-1,46,5,-5,0,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-02-21,-1,-1,26,1,-6,1,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-02-22,1,0,57,14,-1,-2,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-02-23,14,18,27,13,0,-1,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-02-24,6,3,74,7,-3,0,"Montag","work"
"CH","Switzerland","","","","",NA,2020-02-25,4,6,17,3,-4,1,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-02-26,-5,0,-20,-5,-4,2,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-02-27,-5,1,-22,-5,-5,2,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-02-28,-1,8,16,-1,-4,2,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-02-29,-6,4,-14,-7,-2,2,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-03-01,3,8,29,2,-1,1,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-03-02,-7,-1,-24,-7,-1,3,"Montag","work"
"CH","Switzerland","","","","",NA,2020-03-03,-1,4,7,-3,0,2,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-03-04,-3,1,8,-2,-1,1,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-03-05,-11,-4,-36,-11,-2,3,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-03-06,-6,1,-12,-8,-2,3,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-03-07,-4,2,-3,-9,-2,3,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-03-08,6,7,47,3,-3,0,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-03-09,-8,-1,-17,-8,0,3,"Montag","work"
"CH","Switzerland","","","","",NA,2020-03-10,-10,-1,-26,-10,-1,4,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-03-11,-7,2,10,-6,-2,3,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-03-12,-11,8,-1,-11,-4,4,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-03-13,-13,24,1,-15,-6,5,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-03-14,-25,12,-6,-26,-7,8,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-03-15,-27,2,66,-16,-13,5,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-03-16,-17,24,14,-30,-20,10,"Montag","work"
"CH","Switzerland","","","","",NA,2020-03-17,-57,1,21,-42,-33,17,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-03-18,-62,-4,22,-45,-38,18,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-03-19,-65,-10,19,-51,-46,21,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-03-20,-67,-4,-11,-56,-45,24,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-03-21,-78,-26,-29,-62,-43,19,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-03-22,-82,-49,-40,-66,-45,15,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-03-23,-68,-20,-19,-59,-46,22,"Montag","work"
"CH","Switzerland","","","","",NA,2020-03-24,-69,-19,-5,-58,-49,24,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-03-25,-70,-19,-20,-59,-49,23,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-03-26,-70,-18,-23,-61,-50,24,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-03-27,-69,-13,-3,-58,-49,26,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-03-28,-73,-19,18,-53,-43,17,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-03-29,-81,-51,-41,-68,-46,15,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-03-30,-71,-22,-46,-62,-48,23,"Montag","work"
"CH","Switzerland","","","","",NA,2020-03-31,-84,-2,1,-53,-49,23,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-04-01,-84,-5,7,-52,-48,22,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-04-02,-84,-3,8,-53,-50,23,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-04-03,-79,2,8,-54,-48,25,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-04-04,-82,-5,15,-51,-42,17,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-04-05,-76,-25,42,-48,-42,12,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-04-06,-76,-5,21,-51,-47,21,"Montag","work"
"CH","Switzerland","","","","",NA,2020-04-07,-72,1,42,-50,-48,21,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-04-08,-72,9,26,-51,-48,20,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-04-09,-70,25,22,-50,-50,21,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-04-10,-87,-75,75,-61,-85,34,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-04-11,-77,11,27,-47,-41,15,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-04-12,-78,-30,33,-49,-39,11,"Sonntag","weekend"
"CH","Switzerland","","","","",NA,2020-04-13,-86,-80,83,-61,-85,30,"Montag","work"
"CH","Switzerland","","","","",NA,2020-04-14,-73,-4,11,-52,-47,21,"Dienstag","work"
"CH","Switzerland","","","","",NA,2020-04-15,-74,-14,30,-49,-46,20,"Mittwoch","work"
"CH","Switzerland","","","","",NA,2020-04-16,-72,-14,30,-51,-47,21,"Donnerstag","work"
"CH","Switzerland","","","","",NA,2020-04-17,-72,-10,39,-50,-46,22,"Freitag","work"
"CH","Switzerland","","","","",NA,2020-04-18,-76,-14,33,-46,-36,15,"Samstag","weekend"
"CH","Switzerland","","","","",NA,2020-04-19,-74,-21,36,-46,-36,11,"Sonntag","weekend"
